desi,name,ra,dec,z,zmag,zmagerr
DESI ,J140744.78+370112.5   ,211.93658,37.02014,5.98,21.26,0.04
DESI ,J141124.53+071808.0   ,212.85222,7.30225,5.38,19.65,0.01
DESI ,J142215.60-053849.8   ,215.565,-5.64719,5.51,20.6,0.02
DESI ,J142309.65-030022.3   ,215.79021,-3.00619,4.79,21.12,0.03
DESI ,J142439.05+264410.0   ,216.16272,26.73612,4.93,20.73,0.03
DESI ,J142504.01-051039.2   ,216.26669,-5.17756,5.0,20.52,0.02
DESI ,J144133.65+014128.6   ,220.3902,1.69128,4.87,21.05,0.03
DESI ,J144355.05+350055.6   ,220.97939,35.01546,6.53,21.21,0.03
DESI ,J144444.70+643508.3   ,221.18623,64.58566,5.28,20.27,0.02
DESI ,J144645.31+364929.4   ,221.6888,36.82483,4.83,21.27,0.03
DESI ,J144728.28+371105.1   ,221.86781,37.18476,4.87,20.98,0.03
DESI ,J144733.96+090041.0   ,221.89149,9.0114,4.78,21.12,0.04
DESI ,J144946.78+331943.2   ,222.44492,33.32869,6.11,21.07,0.03
DESI ,J145256.69+142318.6   ,223.23621,14.38852,5.02,19.37,0.01
DESI ,J145431.22-021839.0   ,223.6301,-2.31084,4.96,20.96,0.03
DESI ,J145459.31+110927.9   ,223.74712,11.15775,4.93,20.87,0.02
DESI ,J145746.48-012551.9   ,224.44366,-1.43111,5.06,20.05,0.01
DESI ,J150019.17-055832.6   ,225.07988,-5.97574,6.13,20.97,0.03
DESI ,J150242.74+361649.3   ,225.67809,36.28037,4.97,20.97,0.03
DESI ,J150318.05-062417.5   ,225.8252,-6.40486,4.89,21.19,0.03
DESI ,J150536.99+055237.2   ,226.40413,5.87702,4.9,20.62,0.02
DESI ,J151042.58+122930.3   ,227.67741,12.49176,4.9,20.79,0.03
DESI ,J151228.50-070055.3   ,228.11876,-7.01537,5.18,20.9,0.03
DESI ,J151512.98+162424.8   ,228.80409,16.40689,4.92,20.64,0.02
DESI ,J151539.34-050331.9   ,228.91391,-5.05887,4.93,21.28,0.04
DESI ,J151807.02+154454.2   ,229.52925,15.74839,5.17,21.14,0.04
DESI ,J152144.82+320228.4   ,230.43674,32.04122,5.42,21.33,0.07
DESI ,J152341.82+204913.8   ,230.92422,20.82051,5.16,20.8,0.04
DESI ,J152556.47+385040.2   ,231.48529,38.84452,6.3,20.47,0.02
DESI ,J152953.38+372258.0   ,232.4724,37.38278,4.95,21.01,0.03
DESI ,J153338.93+393210.3   ,233.4122,39.5362,4.89,21.05,0.02
DESI ,J153353.22+023048.3   ,233.47176,2.51343,5.11,20.11,0.01
DESI ,J153353.25+224718.4   ,233.47186,22.78845,5.35,19.96,0.01
DESI ,J153407.88+384739.4   ,233.53285,38.79429,5.31,20.9,0.03
DESI ,J153800.34+335021.4   ,234.50143,33.83928,4.87,21.01,0.04
DESI ,J153802.48+115601.2   ,234.51035,11.93367,5.1,21.19,0.04
DESI ,J154005.67+013845.0   ,235.02361,1.64585,5.0,20.77,0.02
DESI ,J154850.54+430602.7   ,237.21057,43.10077,5.82,21.36,0.03
DESI ,J154919.65+313042.3   ,237.33189,31.51175,4.86,20.01,0.01
DESI ,J155008.91+025905.1   ,237.53709,2.98477,5.13,19.93,0.02
DESI ,J155019.65+142159.6   ,237.58186,14.36657,4.85,20.3,0.02
DESI ,J155056.61+300353.6   ,237.73587,30.0649,4.78,20.89,0.02
DESI ,J155209.47-002311.6   ,238.03946,-0.38657,5.56,21.17,0.03
DESI ,J155535.51+071229.3   ,238.89798,7.20815,5.01,20.68,0.02
DESI ,J155635.50+334142.4   ,239.14793,33.69514,6.13,20.97,0.02
DESI ,J155929.54+034427.7   ,239.87309,3.74104,4.78,20.44,0.02
DESI ,J160213.88+350330.9   ,240.55782,35.05859,6.11,21.08,0.02
DESI ,J160523.91+330500.3   ,241.34961,33.08344,5.43,20.57,0.03
DESI ,J160906.39+053804.6   ,242.27661,5.63463,4.81,20.8,0.03
DESI ,J160917.15+335530.6   ,242.32146,33.92517,4.9,21.08,0.04
DESI ,J161118.55+063223.5   ,242.82729,6.53986,4.9,20.18,0.02
DESI ,J161451.90+055821.4   ,243.71625,5.97263,4.92,20.17,0.01
DESI ,J161727.11+144627.0   ,244.36295,14.77417,4.86,21.32,0.03
DESI ,J161958.02+182040.3   ,244.99174,18.34455,4.85,20.9,0.03
DESI ,J161959.88+372022.3   ,244.99951,37.33954,4.79,21.02,0.03
DESI ,J162128.66+113325.4   ,245.3694,11.55708,5.05,20.87,0.02
DESI ,J162546.50+081126.9   ,246.44374,8.19083,4.92,20.08,0.02
DESI ,J162554.25+280442.9   ,246.47604,28.07859,5.06,20.7,0.02
DESI ,J162754.64+102739.0   ,246.97768,10.46085,5.22,20.01,0.01
DESI ,J162818.46+142332.8   ,247.07693,14.39245,5.91,20.99,0.03
DESI ,J163404.31+085159.1   ,248.51794,8.86642,4.98,20.57,0.02
DESI ,J163533.85+425423.0   ,248.89107,42.90641,5.23,20.42,0.01
DESI ,J163552.38+330547.5   ,248.96826,33.09653,5.16,20.05,0.02
DESI ,J163838.87+395326.0   ,249.66197,39.89056,5.34,20.6,0.02
DESI ,J164101.43+333846.2   ,250.25594,33.64618,5.09,20.05,0.03
DESI ,J164314.00+001101.1   ,250.80833,0.18366,5.34,20.55,0.02
DESI ,J164516.91+263344.9   ,251.32045,26.56248,4.82,21.37,0.05
DESI ,J164855.64+340707.0   ,252.23183,34.11862,4.88,20.94,0.07
DESI ,J165116.25+530406.3   ,252.81772,53.06843,4.96,20.93,0.03
DESI ,J165442.62+295543.6   ,253.67758,29.9288,5.05,20.73,0.03
DESI ,J165554.86+430952.8   ,253.97858,43.16469,4.87,20.82,0.02
DESI ,J170136.65+371229.0   ,255.40273,37.20806,5.16,21.23,0.03
DESI ,J170310.07+043245.9   ,255.79195,4.54608,4.82,19.92,0.01
DESI ,J170340.79+510441.5   ,255.91995,51.07821,5.16,20.26,0.01
DESI ,J170458.51+335523.6   ,256.24377,33.92324,4.75,20.49,0.02
DESI ,J170558.85+050846.3   ,256.49521,5.14622,4.87,19.79,0.01
DESI ,J171351.51+350001.2   ,258.4646,35.00036,5.28,20.54,0.02
